4 
SEW1_COLIZZA_1  0.000000 -2.683385 -4.223468 -1.018862 
SEW1_COLIZZA_2  -2.683385 0.000000 -6.906853 -1.405122 
SEW1_COLIZZA_3  -4.223468 -6.906853 0.000000 -1.714021 
SEW1_COLIZZA_4  -1.018862 -1.405122 -1.714021 0.000000 
SEW1_COLIZZA_1 SEW1_COLIZZA_2 SEW1_COLIZZA_3 SEW1_COLIZZA_4 
