file1	3.923333
file1	3.783333
file1	3.680000
file1	3.516667
file1	3.630000
file1	3.626667
file1	3.510000
file1	3.530000
file1	3.590000
file1	4.136667
file1	4.023334
file1	3.656667
file1	3.860000
file1	3.643333
file1	3.606667
file1	3.490000
file1	3.540000
file1	3.873333
file1	3.736667
file1	3.663333
file1	3.573333
file1	3.596667
file1	3.410000
file1	3.366667
file1	3.563333
file1	3.486667
file1	3.363333
file1	3.593333
file1	3.710000
file1	3.796667
file1	3.766667
file1	3.946667
file1	4.003334
file1	3.880000
file1	4.043334
file1	4.026667
file1	3.906667
file1	3.926667
file1	3.760000
file1	3.753333
file1	3.936667
file1	3.666667
file1	3.656667
file1	3.653333
file1	3.566667
file1	3.420000
file1	3.443333
file1	3.570000
file1	3.833333
file1	3.653333
file1	3.643333
file1	3.776667
file1	3.763333
file1	3.450000
file1	3.520000
file1	3.713333
file1	3.786667
file1	3.406667
file1	3.666667
file1	3.716667
file1	3.643333
file1	3.743333
file1	3.756667
file1	3.906667
file1	4.016667
file1	4.036667
file1	4.030000
file1	3.933333
file1	3.980000
file1	3.846667
\n endoffile
