datetime,WorkshopEd,Username,MacroRev,distance,Edit
2019-01-30 18:00:00,SEW1,COLLIAUX,2,0.181399,87
2019-01-31 14:47:00,SEW1,COLLIAUX,3,0.5848140000000001,88
2019-01-31 14:49:00,SEW1,COLLIAUX,3,0.641588,89
2019-01-31 14:50:00,SEW1,COLLIAUX,3,0.6743600000000001,90
2019-01-31 14:51:00,SEW1,COLLIAUX,3,0.693515,91
2019-01-31 14:52:00,SEW1,COLLIAUX,3,0.712209,92
2019-01-31 14:53:00,SEW1,COLLIAUX,3,0.712209,93
2019-01-31 14:54:00,SEW1,COLLIAUX,3,0.728133,94
2019-01-31 14:55:00,SEW1,COLLIAUX,3,0.773598,95
2019-01-31 15:35:00,SEW1,COLLIAUX,4,0.5640430000000001,96
2019-01-31 16:56:00,SEW1,COLLIAUX,4,0.5640430000000001,97
