datetime,WorkshopEd,Username,MacroRev,distance,Edit
2019-01-30 09:39:00,SEW1,COLLIAUX,1,4.0235769999999995,0
2019-01-30 09:40:00,SEW1,COLLIAUX,1,3.9036589999999998,1
2019-01-30 09:42:00,SEW1,COLLIAUX,1,3.7774389999999998,2
2019-01-30 09:43:00,SEW1,COLLIAUX,1,3.7150410000000003,3
2019-01-30 09:44:00,SEW1,COLLIAUX,1,3.6623980000000005,4
2019-01-30 09:45:00,SEW1,COLLIAUX,1,3.595325,5
2019-01-30 09:46:00,SEW1,COLLIAUX,1,3.522764,6
2019-01-30 09:48:00,SEW1,COLLIAUX,1,3.410772,7
2019-01-30 09:49:00,SEW1,COLLIAUX,1,3.35874,8
2019-01-30 09:51:00,SEW1,COLLIAUX,1,3.2894309999999995,9
2019-01-30 09:52:00,SEW1,COLLIAUX,1,3.176829,10
2019-01-30 09:54:00,SEW1,COLLIAUX,1,3.006911,11
2019-01-30 09:55:00,SEW1,COLLIAUX,1,2.928862,12
2019-01-30 09:56:00,SEW1,COLLIAUX,1,2.886382,13
2019-01-30 09:57:00,SEW1,COLLIAUX,1,2.854878,14
2019-01-30 09:58:00,SEW1,COLLIAUX,1,2.78313,15
2019-01-30 09:59:00,SEW1,COLLIAUX,1,2.7552849999999998,16
2019-01-30 10:00:00,SEW1,COLLIAUX,1,2.718089,17
2019-01-30 10:01:00,SEW1,COLLIAUX,1,2.6762189999999997,18
2019-01-30 10:02:00,SEW1,COLLIAUX,1,2.663008,19
2019-01-30 10:07:00,SEW1,COLLIAUX,1,2.4502029999999997,20
2019-01-30 10:08:00,SEW1,COLLIAUX,1,2.39126,21
2019-01-30 10:11:00,SEW1,COLLIAUX,1,2.33435,22
2019-01-30 10:12:00,SEW1,COLLIAUX,1,2.333333,23
2019-01-30 10:13:00,SEW1,COLLIAUX,1,2.2867889999999997,24
2019-01-30 10:14:00,SEW1,COLLIAUX,1,2.285772,25
2019-01-30 10:15:00,SEW1,COLLIAUX,1,2.285772,26
2019-01-30 10:16:00,SEW1,COLLIAUX,1,2.272764,27
2019-01-30 10:17:00,SEW1,COLLIAUX,1,2.2758130000000003,28
2019-01-30 10:18:00,SEW1,COLLIAUX,1,2.263618,29
2019-01-30 10:19:00,SEW1,COLLIAUX,1,2.2628049999999997,30
2019-01-30 10:20:00,SEW1,COLLIAUX,1,2.26809,31
2019-01-30 10:23:00,SEW1,COLLIAUX,1,2.071748,32
2019-01-30 10:25:00,SEW1,COLLIAUX,1,2.039024,33
2019-01-30 10:29:00,SEW1,COLLIAUX,1,1.850813,34
2019-01-30 10:30:00,SEW1,COLLIAUX,1,1.836789,35
2019-01-30 10:31:00,SEW1,COLLIAUX,1,1.786789,36
2019-01-30 10:32:00,SEW1,COLLIAUX,1,1.761382,37
2019-01-30 10:34:00,SEW1,COLLIAUX,1,1.687602,38
2019-01-30 10:35:00,SEW1,COLLIAUX,1,1.6313010000000001,39
2019-01-30 10:36:00,SEW1,COLLIAUX,1,1.6313010000000001,40
2019-01-30 10:37:00,SEW1,COLLIAUX,1,1.61687,41
2019-01-30 10:46:00,SEW1,COLLIAUX,1,1.522967,42
2019-01-30 10:48:00,SEW1,COLLIAUX,1,1.4721540000000002,43
2019-01-30 10:49:00,SEW1,COLLIAUX,1,1.396341,44
2019-01-30 10:50:00,SEW1,COLLIAUX,1,1.3607719999999999,45
2019-01-30 10:52:00,SEW1,COLLIAUX,1,1.234146,46
2019-01-30 10:53:00,SEW1,COLLIAUX,1,1.2268290000000002,47
2019-01-30 10:55:00,SEW1,COLLIAUX,1,1.121748,48
2019-01-30 10:56:00,SEW1,COLLIAUX,1,1.082927,49
2019-01-30 10:57:00,SEW1,COLLIAUX,1,1.056098,50
2019-01-30 10:58:00,SEW1,COLLIAUX,1,1.005285,51
2019-01-30 17:04:00,SEW1,COLLIAUX,2,4.345325,52
2019-01-30 17:05:00,SEW1,COLLIAUX,2,1.005285,53
2019-01-30 17:08:00,SEW1,COLLIAUX,2,0.998374,54
2019-01-30 17:10:00,SEW1,COLLIAUX,2,0.9420729999999999,55
2019-01-30 17:11:00,SEW1,COLLIAUX,2,0.921748,56
2019-01-30 17:12:00,SEW1,COLLIAUX,2,0.8745930000000001,57
2019-01-30 17:13:00,SEW1,COLLIAUX,2,0.843699,58
2019-01-30 17:14:00,SEW1,COLLIAUX,2,0.8319110000000001,59
2019-01-30 17:23:00,SEW1,COLLIAUX,2,0.748374,60
2019-01-30 17:24:00,SEW1,COLLIAUX,2,0.7,61
2019-01-30 17:26:00,SEW1,COLLIAUX,2,0.687195,62
2019-01-30 17:27:00,SEW1,COLLIAUX,2,0.68374,63
2019-01-30 17:28:00,SEW1,COLLIAUX,2,0.663211,64
2019-01-30 17:30:00,SEW1,COLLIAUX,2,0.661179,65
2019-01-30 17:33:00,SEW1,COLLIAUX,2,0.5676829999999999,66
2019-01-30 17:34:00,SEW1,COLLIAUX,2,0.489228,67
2019-01-30 17:35:00,SEW1,COLLIAUX,2,0.47256099999999995,68
2019-01-30 17:36:00,SEW1,COLLIAUX,2,0.436992,69
2019-01-30 17:37:00,SEW1,COLLIAUX,2,0.413415,70
2019-01-30 17:38:00,SEW1,COLLIAUX,2,0.406911,71
2019-01-30 17:39:00,SEW1,COLLIAUX,2,0.407317,72
2019-01-30 17:40:00,SEW1,COLLIAUX,2,0.40223600000000004,73
2019-01-30 17:41:00,SEW1,COLLIAUX,2,0.36056900000000003,74
2019-01-30 17:44:00,SEW1,COLLIAUX,2,0.24715399999999998,75
2019-01-30 17:46:00,SEW1,COLLIAUX,2,0.120528,76
2019-01-30 17:47:00,SEW1,COLLIAUX,2,0.07520299999999999,77
2019-01-30 17:48:00,SEW1,COLLIAUX,2,2.929878,78
2019-01-30 17:51:00,SEW1,COLLIAUX,2,0.096341,79
2019-01-30 17:52:00,SEW1,COLLIAUX,2,0.10040700000000001,80
2019-01-30 17:53:00,SEW1,COLLIAUX,2,0.11971500000000002,81
2019-01-30 17:54:00,SEW1,COLLIAUX,2,0.138821,82
2019-01-30 17:55:00,SEW1,COLLIAUX,2,0.15813,83
2019-01-30 17:56:00,SEW1,COLLIAUX,2,0.16788599999999998,84
2019-01-30 17:57:00,SEW1,COLLIAUX,2,0.16788599999999998,85
2019-01-30 17:59:00,SEW1,COLLIAUX,2,0.171545,86
2019-01-30 18:00:00,SEW1,COLLIAUX,2,0.196951,87
2019-01-31 14:47:00,SEW1,COLLIAUX,3,0.586992,88
2019-01-31 14:49:00,SEW1,COLLIAUX,3,0.628455,89
2019-01-31 14:50:00,SEW1,COLLIAUX,3,0.6567069999999999,90
2019-01-31 14:51:00,SEW1,COLLIAUX,3,0.673171,91
2019-01-31 14:52:00,SEW1,COLLIAUX,3,0.689634,92
2019-01-31 14:53:00,SEW1,COLLIAUX,3,0.717683,93
2019-01-31 14:54:00,SEW1,COLLIAUX,3,0.736992,94
2019-01-31 14:55:00,SEW1,COLLIAUX,3,0.777642,95
2019-01-31 15:35:00,SEW1,COLLIAUX,4,0.568902,96
2019-01-31 16:56:00,SEW1,COLLIAUX,4,0.572967,97
